Triangles,Vertices,Meshes,SubMeshes,Model,Path
6649,9300,1,1,Meshy_AI_Solitary_corn_stalk_0623112105_texture,Assets/Models/CornTree/Meshy_AI_Solitary_corn_stalk_0623112105_texture_fbx/Meshy_AI_Solitary_corn_stalk_0623112105_texture.fbx
6599,13127,1,1,Meshy_AI_Emerald_Grass_Tufts_0429083333_texture,Assets/Models/GrasspatchSmall/Meshy_AI_Emerald_Grass_Tufts_0429083333_texture_fbx/Meshy_AI_Emerald_Grass_Tufts_0429083333_texture_fbx/Meshy_AI_Emerald_Grass_Tufts_0429083333_texture.fbx
6357,6128,1,1,Meshy_AI_Pile_of_Dirt_0713090855_texture,Assets/Models/DirtSpot/Meshy_AI_Pile_of_Dirt_0713090855_texture_fbx/Meshy_AI_Pile_of_Dirt_0713090855_texture_fbx/Meshy_AI_Pile_of_Dirt_0713090855_texture.fbx
6286,5609,1,1,Meshy_AI_Golden_Blooms_on_a_Gr_0508145034_texture,Assets/Models/AphidTrap/Meshy_AI_Golden_Blooms_on_a_Gr_0508145034_texture_fbx/Meshy_AI_Golden_Blooms_on_a_Gr_0508145034_texture_fbx/Meshy_AI_Golden_Blooms_on_a_Gr_0508145034_texture.fbx
6210,5711,1,1,Meshy_AI_Three_Post_Hammock_0722150149_texture,Assets/Models/ShadeNet/shade/Meshy_AI_Three_Post_Hammock_0722150149_texture_fbx/Meshy_AI_Three_Post_Hammock_0722150149_texture.fbx
6184,4604,1,1,Meshy_AI_Purple_Eggplant_0623110945_texture,Assets/Models/EggplantFruit/Meshy_AI_Purple_Eggplant_0623110945_texture_fbx/Meshy_AI_Purple_Eggplant_0623110945_texture.fbx
6023,6854,1,1,Meshy_AI_Emerald_Sprout_0709132034_texture,Assets/Models/MangosteenSprout/Meshy_AI_Emerald_Sprout_0709132034_texture_fbx/Meshy_AI_Emerald_Sprout_0709132034_texture_fbx/Meshy_AI_Emerald_Sprout_0709132034_texture.fbx
5670,7834,1,1,Meshy_AI_Cylindrical_water_fil_0713164205_texture,Assets/Models/TermiteBait/Meshy_AI_Cylindrical_water_fil_0713164205_texture_fbx/Meshy_AI_Cylindrical_water_fil_0713164205_texture_fbx/Meshy_AI_Cylindrical_water_fil_0713164205_texture.fbx
5470,7333,1,1,Meshy_AI_Tomato_seedling_0709135244_texture,Assets/Models/TomatoSprout/Meshy_AI_Tomato_seedling_0709135244_texture_fbx/Meshy_AI_Tomato_seedling_0709135244_texture_fbx/Meshy_AI_Tomato_seedling_0709135244_texture.fbx
5451,8242,1,1,Meshy_AI_Golden_Pineapple_0506051943_texture,Assets/Models/PineappleFruit/Meshy_AI_Golden_Pineapple_0506051943_texture_fbx/Meshy_AI_Golden_Pineapple_0506051943_texture_fbx/Meshy_AI_Golden_Pineapple_0506051943_texture.fbx
5445,7736,1,1,Meshy_AI_Bromeliad_in_a_pot_0709132857_texture,Assets/Models/PineappleSprout/Meshy_AI_Bromeliad_in_a_pot_0709132857_texture_fbx/Meshy_AI_Bromeliad_in_a_pot_0709132857_texture_fbx/Meshy_AI_Bromeliad_in_a_pot_0709132857_texture.fbx
5403,3695,1,1,Meshy_AI_Green_Coconut_0419175651_texture,Assets/Models/CoconutFruit/Meshy_AI_Green_Coconut_0419175651_texture_fbx/Meshy_AI_Green_Coconut_0419175651_texture_fbx/Meshy_AI_Green_Coconut_0419175651_texture.fbx
5324,3903,1,1,Meshy_AI_Mango_0506051129_texture,Assets/Models/CacaoFruit/Meshy_AI_Mango_0506051129_texture_fbx/Meshy_AI_Mango_0506051129_texture_fbx/Meshy_AI_Mango_0506051129_texture.fbx
